epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.964,1.279,2.0237,1.10912,0.18054,0.7039,0.54635,0.29559,1.48568,3.46784,1.22692,0.067375,0.000329545,0.000329545
2,953.269,1.02623,0.86999,1.02175,0.95429,0.93082,0.9758,0.7883,0.78051,0.72399,0.89831,0.0343619,0.000649754,0.000649754
3,1415.23,0.8972,0.67209,0.97819,0.97895,0.97571,0.99086,0.87542,0.56623,0.4875,0.86289,0.00133555,0.000956762,0.000956762
4,1881.28,0.83751,0.60425,0.94682,0.97628,0.98973,0.98518,0.88716,0.50718,0.43114,0.84932,0.0009406,0.0009406,0.0009406
5,2345.76,0.81103,0.56224,0.94598,0.97761,0.98452,0.98931,0.92256,0.42885,0.41113,0.83332,0.0009208,0.0009208,0.0009208
6,2809.04,0.74763,0.525,0.92631,0.98094,0.98571,0.98471,0.89035,0.50711,0.43625,0.84452,0.000901,0.000901,0.000901
7,3277.05,0.71927,0.4956,0.91979,0.98181,0.988,0.99233,0.93322,0.39554,0.3737,0.83742,0.0008812,0.0008812,0.0008812
8,3746.87,0.71506,0.47501,0.91559,0.98148,0.99426,0.99473,0.91005,0.45184,0.37348,0.84249,0.0008614,0.0008614,0.0008614
9,4216.28,0.72526,0.47037,0.91751,0.97912,0.97812,0.99246,0.91886,0.44539,0.36672,0.83173,0.0008416,0.0008416,0.0008416
10,4685.4,0.69547,0.44785,0.90482,0.97967,0.9944,0.9924,0.9131,0.43992,0.33205,0.83873,0.0008218,0.0008218,0.0008218
11,5159.86,0.65508,0.42739,0.89779,0.98272,0.99413,0.99163,0.89249,0.45882,0.32045,0.83785,0.000802,0.000802,0.000802
12,5630.61,0.68219,0.43135,0.90884,0.98043,0.99133,0.99352,0.93712,0.34329,0.30626,0.826,0.0007822,0.0007822,0.0007822
13,6102.39,0.66387,0.4234,0.90116,0.9784,0.99376,0.98977,0.92929,0.35825,0.30019,0.82774,0.0007624,0.0007624,0.0007624
14,6577.23,0.60256,0.40249,0.88334,0.9909,0.98117,0.99304,0.92928,0.36882,0.30793,0.83187,0.0007426,0.0007426,0.0007426
15,7041.36,0.60599,0.39292,0.885,0.98428,0.98837,0.99429,0.95582,0.32881,0.28352,0.82227,0.0007228,0.0007228,0.0007228
16,7502.83,0.58193,0.37887,0.88031,0.98574,0.98479,0.99367,0.96677,0.29575,0.26976,0.8202,0.000703,0.000703,0.000703
17,8060.7,0.56654,0.36984,0.8769,0.97973,0.9806,0.99304,0.94661,0.31852,0.28512,0.82197,0.0006832,0.0006832,0.0006832
18,8671.75,0.58417,0.37104,0.87484,0.99068,0.98523,0.99376,0.96349,0.28545,0.25956,0.82083,0.0006634,0.0006634,0.0006634
19,9281.57,0.56318,0.36096,0.87546,0.98096,0.9929,0.99355,0.96408,0.28412,0.25086,0.8204,0.0006436,0.0006436,0.0006436
20,9886.6,0.54488,0.35123,0.87058,0.98727,0.99295,0.99442,0.93149,0.35585,0.25822,0.82941,0.0006238,0.0006238,0.0006238
21,10496.4,0.56471,0.35455,0.87382,0.98157,0.99512,0.99391,0.9336,0.39066,0.28133,0.83514,0.000604,0.000604,0.000604
