epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.263,1.17933,2.11526,1.1278,0.00152,0.11668,0.00593,0.00117,2.52632,4.50037,3.24976,0.0689412,0.00129412,0.00129412
2,497.337,1.04159,0.98519,1.07034,0.37768,0.11719,0.00528,0.00186,2.91943,7.73843,3.21428,0.0369055,0.00259179,0.00259179
3,743.236,1.10017,0.86907,1.08602,0.75594,0.43689,0.52981,0.31977,1.5091,2.04026,1.26973,0.00483367,0.00385328,0.00385328
4,978.587,0.96018,0.75939,1.02325,0.82659,0.87572,0.92963,0.62692,1.35581,1.17442,1.16989,0.00383714,0.00383714,0.00383714
5,1216.86,0.87349,0.68096,0.99662,0.94377,0.96386,0.98449,0.8222,0.71818,0.66118,0.88105,0.00378286,0.00378286,0.00378286
6,1460.69,0.80685,0.63105,0.97102,0.84209,0.96757,0.94661,0.83464,0.57943,2.0509,0.83383,0.00372857,0.00372857,0.00372857
7,1698.13,0.72356,0.55532,0.94145,0.94876,0.99597,0.9859,0.82678,0.58036,0.58362,0.83265,0.00367429,0.00367429,0.00367429
8,1938.17,0.71491,0.54051,0.93538,0.99103,0.99664,0.995,0.85312,0.65393,0.47261,0.8538,0.00362,0.00362,0.00362
9,2177.67,0.70367,0.52668,0.93446,0.99237,0.99912,0.995,0.8469,0.68113,0.46576,0.86453,0.00356571,0.00356571,0.00356571
10,2412.85,0.66019,0.49333,0.92045,0.98151,0.98606,0.99488,0.84697,0.62927,0.43048,0.85094,0.00351143,0.00351143,0.00351143
11,2649.07,0.63263,0.47568,0.91212,0.99521,0.99969,0.995,0.88773,0.48187,0.34727,0.81021,0.00345714,0.00345714,0.00345714
12,2885.56,0.64433,0.46389,0.92131,0.98011,0.99666,0.995,0.85372,0.58046,0.41075,0.83813,0.00340286,0.00340286,0.00340286
13,3133.35,0.67102,0.46481,0.92279,0.99092,0.99904,0.995,0.89795,0.47961,0.37415,0.806,0.00334857,0.00334857,0.00334857
14,3375.7,0.6709,0.4729,0.92803,0.99239,0.99954,0.995,0.89034,0.50529,0.36868,0.81458,0.00329429,0.00329429,0.00329429
15,3612.54,0.61601,0.43863,0.91117,0.98633,0.99597,0.99488,0.90912,0.42553,0.33086,0.79563,0.00324,0.00324,0.00324
16,3849.1,0.58583,0.42034,0.90335,0.9916,0.99665,0.995,0.91471,0.45117,0.33484,0.80482,0.00318571,0.00318571,0.00318571
17,4969.1,0.561,0.40898,0.89184,0.9964,0.99561,0.995,0.93025,0.42655,0.32092,0.79551,0.00313143,0.00313143,0.00313143
18,5144.68,0.57441,0.40412,0.89689,0.99406,1,0.995,0.86723,0.60192,0.36301,0.85011,0.00307714,0.00307714,0.00307714
19,5320.75,0.71262,0.44621,0.94119,0.99299,0.99963,0.995,0.91037,0.43387,0.32954,0.80934,0.00302286,0.00302286,0.00302286
20,5496.4,0.60621,0.40436,0.90778,0.99378,0.9989,0.995,0.91563,0.40412,0.28317,0.79224,0.00296857,0.00296857,0.00296857
21,5673.75,0.53664,0.37493,0.88567,0.99383,1,0.995,0.9249,0.40476,0.273,0.78781,0.00291429,0.00291429,0.00291429
22,5850.92,0.51261,0.36659,0.88021,0.99402,1,0.995,0.93665,0.3696,0.25969,0.78968,0.00286,0.00286,0.00286
23,6027.09,0.50721,0.35982,0.87609,0.996,1,0.995,0.9297,0.33235,0.268,0.77804,0.00280571,0.00280571,0.00280571
24,6203.03,0.52185,0.36132,0.88263,0.99575,1,0.995,0.94299,0.34197,0.26909,0.78035,0.00275143,0.00275143,0.00275143
25,6378.62,0.5138,0.3528,0.88115,0.99488,1,0.995,0.93659,0.37089,0.28082,0.78577,0.00269714,0.00269714,0.00269714
26,6554.56,0.48615,0.34183,0.8696,0.99549,0.99855,0.995,0.93741,0.34691,0.25804,0.77816,0.00264286,0.00264286,0.00264286
27,6729.73,0.48476,0.33978,0.87322,0.99523,1,0.995,0.9245,0.38833,0.26811,0.77938,0.00258857,0.00258857,0.00258857
28,6905.5,0.47462,0.33174,0.86579,0.99629,1,0.995,0.9536,0.30578,0.23321,0.77998,0.00253429,0.00253429,0.00253429
29,7081.47,0.48216,0.3321,0.87029,0.9944,1,0.995,0.94493,0.33983,0.24485,0.77721,0.00248,0.00248,0.00248
30,7257.07,0.46261,0.31848,0.86098,0.9961,0.99712,0.995,0.93821,0.34963,0.25325,0.78046,0.00242571,0.00242571,0.00242571
31,7433.33,0.46444,0.32172,0.86458,0.99637,1,0.995,0.95043,0.32389,0.23025,0.77962,0.00237143,0.00237143,0.00237143
32,7608.35,0.44977,0.30831,0.86263,0.99114,1,0.995,0.95424,0.32234,0.23788,0.77437,0.00231714,0.00231714,0.00231714
33,7785.93,0.43721,0.30587,0.85564,0.99768,1,0.995,0.95826,0.3136,0.2322,0.77541,0.00226286,0.00226286,0.00226286
34,7961.48,0.45644,0.31547,0.86779,0.99676,1,0.995,0.96155,0.33084,0.24055,0.77612,0.00220857,0.00220857,0.00220857
35,8137.71,0.46442,0.31879,0.86341,0.99686,0.99902,0.995,0.94521,0.33075,0.23159,0.77955,0.00215429,0.00215429,0.00215429
36,8313.3,0.45372,0.30919,0.86039,0.99617,0.99875,0.995,0.95154,0.3171,0.22955,0.77706,0.0021,0.0021,0.0021
37,8490.39,0.46114,0.31083,0.8606,0.99584,1,0.995,0.95219,0.30608,0.22353,0.7715,0.00204571,0.00204571,0.00204571
38,8666.8,0.45685,0.30835,0.86408,0.99516,1,0.995,0.93194,0.38743,0.25252,0.79413,0.00199143,0.00199143,0.00199143
39,8842.77,0.43072,0.29624,0.8593,0.99664,1,0.995,0.95034,0.31269,0.21964,0.77582,0.00193714,0.00193714,0.00193714
40,9018.41,0.40754,0.2858,0.84842,0.99516,1,0.995,0.96126,0.27598,0.20746,0.76775,0.00188286,0.00188286,0.00188286
41,9194,0.39298,0.27986,0.84768,0.99605,0.99891,0.995,0.95694,0.28848,0.201,0.77467,0.00182857,0.00182857,0.00182857
42,9371.55,0.40416,0.28162,0.85052,0.9958,1,0.995,0.95304,0.29907,0.2014,0.7703,0.00177429,0.00177429,0.00177429
