epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.894,1.27508,3.50227,1.20089,0.05649,0.89009,0.68816,0.50493,0.95934,3.52589,0.92814,0.000248794,0.000248794,0.000248794
2,490.099,1.0508,1.77948,1.05134,1,0.18362,0.65332,0.46621,1.11858,3.07306,1.07654,0.000495126,0.000495126,0.000495126
3,728.348,0.98312,1.08738,1.02613,0.86473,0.68592,0.94404,0.75365,0.71883,1.45615,0.86492,0.000731307,0.000731307,0.000731307
4,963.844,0.79632,0.83819,0.94617,0.98174,0.99513,0.995,0.81627,0.6988,0.78805,0.87482,0.000723321,0.000723321,0.000723321
5,1202.21,0.74436,0.72998,0.9313,0.98898,0.99877,0.995,0.7865,0.82987,0.66362,0.93557,0.000708095,0.000708095,0.000708095
6,1438.59,0.6995,0.66937,0.91251,0.98901,1,0.995,0.87871,0.47678,0.47724,0.81762,0.000692869,0.000692869,0.000692869
7,1673.15,0.62047,0.59325,0.89009,0.99563,1,0.995,0.9226,0.38883,0.43723,0.80167,0.000677643,0.000677643,0.000677643
8,1906.09,0.5824,0.5532,0.88076,0.99301,1,0.995,0.84446,0.61663,0.49191,0.83635,0.000662417,0.000662417,0.000662417
9,2142.31,0.56558,0.53341,0.87351,0.98893,1,0.995,0.91771,0.39754,0.44009,0.80202,0.00064719,0.00064719,0.00064719
10,2376.27,0.56822,0.52229,0.87007,0.99572,1,0.995,0.92714,0.32857,0.40827,0.78969,0.000631964,0.000631964,0.000631964
11,2611.27,0.53243,0.50898,0.86854,0.99586,0.99882,0.995,0.90992,0.3827,0.38394,0.79738,0.000616738,0.000616738,0.000616738
12,2844.05,0.54269,0.49134,0.87074,0.99608,1,0.995,0.92766,0.37961,0.37373,0.79704,0.000601512,0.000601512,0.000601512
13,3077.14,0.60658,0.50351,0.88184,0.99395,1,0.995,0.90355,0.47032,0.43437,0.81203,0.000586286,0.000586286,0.000586286
14,3312.91,0.5607,0.49143,0.87482,0.9961,1,0.995,0.94105,0.32214,0.344,0.78825,0.000571059,0.000571059,0.000571059
15,3546.93,0.47779,0.45276,0.85779,0.99563,1,0.995,0.94638,0.29852,0.34721,0.78647,0.000555833,0.000555833,0.000555833
16,3780.58,0.48952,0.45678,0.8566,0.99684,1,0.995,0.94975,0.3179,0.31033,0.78761,0.000540607,0.000540607,0.000540607
17,4010.68,0.467,0.44215,0.85278,0.99529,1,0.995,0.92068,0.39377,0.34061,0.79503,0.000525381,0.000525381,0.000525381
18,4243.17,0.48561,0.43566,0.85683,0.99576,1,0.995,0.92482,0.41165,0.36114,0.80003,0.000510155,0.000510155,0.000510155
19,4471.92,0.56988,0.46697,0.87367,0.99598,1,0.995,0.92216,0.41686,0.35138,0.80134,0.000494928,0.000494928,0.000494928
20,4702.41,0.50698,0.44532,0.86529,0.99546,1,0.995,0.94523,0.31945,0.33243,0.78794,0.000479702,0.000479702,0.000479702
21,4937.38,0.43106,0.40461,0.84277,0.9968,1,0.995,0.95207,0.26324,0.2895,0.78334,0.000464476,0.000464476,0.000464476
22,5173.17,0.41406,0.39699,0.84376,0.99689,1,0.995,0.95547,0.28827,0.29359,0.78515,0.00044925,0.00044925,0.00044925
23,5407.91,0.40587,0.39298,0.83634,0.99365,1,0.995,0.95488,0.28695,0.30094,0.78496,0.000434024,0.000434024,0.000434024
24,5643.59,0.42379,0.39331,0.84113,0.99684,1,0.995,0.95021,0.29882,0.28887,0.78559,0.000418797,0.000418797,0.000418797
25,5879.13,0.4276,0.38765,0.84291,0.99678,1,0.995,0.95386,0.30218,0.28722,0.78635,0.000403571,0.000403571,0.000403571
26,6116.5,0.39576,0.37769,0.83645,0.99554,1,0.995,0.95265,0.26542,0.26771,0.78342,0.000388345,0.000388345,0.000388345
27,6351.15,0.40716,0.37515,0.83824,0.99698,1,0.995,0.94601,0.32209,0.29361,0.78429,0.000373119,0.000373119,0.000373119
28,6588.54,0.38976,0.36616,0.836,0.997,1,0.995,0.95606,0.27248,0.26995,0.78241,0.000357893,0.000357893,0.000357893
29,6829,0.39114,0.36461,0.83429,0.99668,1,0.995,0.95691,0.26913,0.27398,0.78145,0.000342666,0.000342666,0.000342666
30,7068.05,0.38185,0.35526,0.83378,0.9965,1,0.995,0.9564,0.24325,0.24844,0.7813,0.00032744,0.00032744,0.00032744
31,7309.87,0.36564,0.3493,0.82967,0.99524,1,0.995,0.95763,0.23869,0.24421,0.78406,0.000312214,0.000312214,0.000312214
32,7548.14,0.3682,0.342,0.83155,0.99631,1,0.995,0.95765,0.24282,0.24681,0.78111,0.000296988,0.000296988,0.000296988
33,7787.19,0.35404,0.33634,0.82975,0.9963,1,0.995,0.95619,0.22924,0.23349,0.77953,0.000281762,0.000281762,0.000281762
34,8027.18,0.37009,0.33973,0.83397,0.99666,1,0.995,0.95503,0.2587,0.24378,0.77999,0.000266535,0.000266535,0.000266535
35,8269.1,0.3512,0.33114,0.82943,0.99686,1,0.995,0.95631,0.22591,0.23225,0.77997,0.000251309,0.000251309,0.000251309
36,8509.13,0.34776,0.32714,0.82856,0.99699,1,0.995,0.95394,0.24439,0.23271,0.7799,0.000236083,0.000236083,0.000236083
37,8746.61,0.35908,0.3303,0.82912,0.99678,1,0.995,0.95084,0.23061,0.23669,0.77956,0.000220857,0.000220857,0.000220857
38,8986.74,0.349,0.32997,0.82822,0.99714,1,0.995,0.95284,0.23658,0.22814,0.78046,0.000205631,0.000205631,0.000205631
39,9226.35,0.33767,0.31757,0.82476,0.99695,1,0.995,0.95958,0.2181,0.21404,0.78126,0.000190404,0.000190404,0.000190404
40,9466.9,0.31995,0.30682,0.82348,0.99751,1,0.995,0.95731,0.23454,0.21921,0.78072,0.000175178,0.000175178,0.000175178
41,9706.47,0.28605,0.31199,0.78657,0.995,1,0.995,0.95588,0.23096,0.24722,0.78119,0.000159952,0.000159952,0.000159952
42,9941.1,0.27896,0.29436,0.78879,0.99574,1,0.995,0.95588,0.22446,0.22612,0.78115,0.000144726,0.000144726,0.000144726
43,10178,0.26611,0.28421,0.7856,0.99652,0.99949,0.995,0.95569,0.23055,0.21217,0.7811,0.0001295,0.0001295,0.0001295
44,10414,0.25712,0.27448,0.78658,0.99649,1,0.995,0.95714,0.21785,0.21429,0.7796,0.000114273,0.000114273,0.000114273
45,10650.5,0.25421,0.27054,0.78392,0.99665,1,0.995,0.95821,0.22667,0.21035,0.78175,9.90472e-05,9.90472e-05,9.90472e-05
46,10886.2,0.24194,0.26226,0.78083,0.99686,1,0.995,0.95618,0.20529,0.20195,0.7801,8.3821e-05,8.3821e-05,8.3821e-05
47,11121.9,0.23525,0.25645,0.78298,0.99476,0.99821,0.995,0.95833,0.20226,0.19532,0.77995,6.85948e-05,6.85948e-05,6.85948e-05
48,11361.9,0.2388,0.25918,0.77495,0.9972,1,0.995,0.96033,0.20084,0.18961,0.77992,5.33686e-05,5.33686e-05,5.33686e-05
49,11600.8,0.22806,0.24978,0.77979,0.99687,1,0.995,0.96289,0.19262,0.18776,0.7792,3.81424e-05,3.81424e-05,3.81424e-05
50,11838.7,0.22837,0.25046,0.78169,0.99695,1,0.995,0.96294,0.19242,0.1858,0.7792,2.29162e-05,2.29162e-05,2.29162e-05
