epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.458,1.21633,1.79887,1.23252,0.96939,0.99967,0.99494,0.83959,0.69165,0.99109,0.94662,0.000248794,0.000248794,0.000248794
2,907.902,0.8095,0.64257,0.98912,0.98766,1,0.995,0.86181,0.56973,0.48424,0.88618,0.000495126,0.000495126,0.000495126
3,1352.16,0.79057,0.53221,0.98139,0.97234,1,0.99451,0.86175,0.61744,0.48722,0.91179,0.000731307,0.000731307,0.000731307
4,1789.71,0.67183,0.44351,0.93364,0.98203,1,0.995,0.91659,0.46275,0.38166,0.89205,0.000723321,0.000723321,0.000723321
5,2224.67,0.60714,0.39511,0.91859,0.99241,1,0.995,0.88786,0.46866,0.33903,0.88518,0.000708095,0.000708095,0.000708095
6,2660.36,0.57613,0.37495,0.91207,0.98882,1,0.995,0.91542,0.38849,0.28749,0.86817,0.000692869,0.000692869,0.000692869
7,3098.71,0.5375,0.34375,0.89244,0.99481,1,0.995,0.94179,0.34317,0.26277,0.8594,0.000677643,0.000677643,0.000677643
8,3538.11,0.49584,0.31899,0.88344,0.99486,1,0.995,0.90329,0.50993,0.28285,0.88989,0.000662417,0.000662417,0.000662417
9,3968.31,0.49263,0.31364,0.8773,0.99641,1,0.995,0.9298,0.35367,0.24252,0.86371,0.00064719,0.00064719,0.00064719
10,4398.73,0.48793,0.3022,0.87622,0.99612,1,0.995,0.95178,0.3138,0.21997,0.85689,0.000631964,0.000631964,0.000631964
11,4830.99,0.45201,0.2898,0.87244,0.99447,0.99991,0.995,0.95681,0.28764,0.2277,0.85266,0.000616738,0.000616738,0.000616738
12,5270.39,0.45029,0.28696,0.86989,0.99425,1,0.995,0.956,0.30187,0.21734,0.85167,0.000601512,0.000601512,0.000601512
13,5707.98,0.4549,0.28824,0.8676,0.99497,1,0.995,0.95162,0.30774,0.2223,0.85288,0.000586286,0.000586286,0.000586286
14,6151.05,0.45436,0.2918,0.86905,0.99585,1,0.995,0.95483,0.3144,0.21621,0.85487,0.000571059,0.000571059,0.000571059
15,6593.24,0.42704,0.275,0.8628,0.99586,1,0.995,0.9621,0.24422,0.18482,0.85444,0.000555833,0.000555833,0.000555833
16,7039.8,0.41351,0.26638,0.86064,0.99679,1,0.995,0.96019,0.29129,0.19315,0.85211,0.000540607,0.000540607,0.000540607
17,7486.56,0.39749,0.26068,0.85769,0.99704,1,0.995,0.96433,0.24852,0.18066,0.85284,0.000525381,0.000525381,0.000525381
18,7932.19,0.39387,0.25435,0.85721,0.99616,1,0.995,0.95387,0.34559,0.21641,0.86247,0.000510155,0.000510155,0.000510155
19,8383,0.47476,0.28155,0.87325,0.99644,0.99986,0.995,0.94196,0.36096,0.21725,0.86467,0.000494928,0.000494928,0.000494928
20,8830.18,0.4272,0.26812,0.86257,0.99703,1,0.995,0.9626,0.26772,0.18332,0.85335,0.000479702,0.000479702,0.000479702
21,9276.46,0.36137,0.24029,0.84457,0.99629,1,0.995,0.95877,0.26985,0.17851,0.85589,0.000464476,0.000464476,0.000464476
22,9729.52,0.35466,0.23518,0.84518,0.99625,0.99799,0.995,0.96857,0.24151,0.16029,0.84384,0.00044925,0.00044925,0.00044925
23,10175.8,0.33938,0.22899,0.83711,0.99722,1,0.995,0.96638,0.24232,0.16755,0.84325,0.000434024,0.000434024,0.000434024
24,10623.2,0.34531,0.22743,0.8407,0.99527,1,0.995,0.96573,0.22735,0.15682,0.84531,0.000418797,0.000418797,0.000418797
25,11068,0.36081,0.22961,0.84372,0.99562,0.99955,0.995,0.96448,0.25503,0.16553,0.84975,0.000403571,0.000403571,0.000403571
26,11522.9,0.32806,0.22357,0.83144,0.9975,1,0.995,0.9654,0.25517,0.16139,0.84563,0.000388345,0.000388345,0.000388345
27,11939.3,0.32817,0.22049,0.83341,0.99632,1,0.995,0.96689,0.25204,0.15868,0.84789,0.000373119,0.000373119,0.000373119
28,12279.4,0.31881,0.21445,0.83291,0.99633,1,0.995,0.9667,0.21452,0.15627,0.84345,0.000357893,0.000357893,0.000357893
29,12619.8,0.31131,0.21139,0.82819,0.99833,1,0.995,0.96714,0.22287,0.15618,0.84237,0.000342666,0.000342666,0.000342666
30,12959.6,0.30542,0.20741,0.82879,0.9965,1,0.995,0.96795,0.21901,0.15251,0.84459,0.00032744,0.00032744,0.00032744
31,13300.1,0.31759,0.20984,0.82836,0.99682,1,0.995,0.96524,0.22188,0.14501,0.84249,0.000312214,0.000312214,0.000312214
32,13644.4,0.30272,0.20348,0.82703,0.99801,0.99983,0.995,0.96819,0.21722,0.13808,0.84117,0.000296988,0.000296988,0.000296988
33,13994.2,0.29755,0.20118,0.82581,0.99876,1,0.995,0.96891,0.18681,0.13152,0.83721,0.000281762,0.000281762,0.000281762
34,14345.4,0.30262,0.201,0.8335,0.99639,1,0.995,0.96493,0.20841,0.13258,0.84099,0.000266535,0.000266535,0.000266535
35,14698.1,0.28426,0.1928,0.8234,0.99799,1,0.995,0.96685,0.20218,0.14002,0.84056,0.000251309,0.000251309,0.000251309
36,15060.9,0.27815,0.18981,0.82442,0.99819,1,0.995,0.96927,0.19178,0.13227,0.83853,0.000236083,0.000236083,0.000236083
37,15407,0.27724,0.18862,0.82066,0.99868,0.99991,0.995,0.96677,0.2023,0.14092,0.83841,0.000220857,0.000220857,0.000220857
38,15760.2,0.27583,0.19004,0.82396,0.9981,1,0.995,0.96825,0.19474,0.13552,0.83813,0.000205631,0.000205631,0.000205631
39,16114.2,0.26844,0.18436,0.8171,0.99869,1,0.995,0.96732,0.20631,0.13071,0.83948,0.000190404,0.000190404,0.000190404
40,16466.2,0.26275,0.1814,0.81742,0.9985,1,0.995,0.97022,0.19283,0.11993,0.84075,0.000175178,0.000175178,0.000175178
41,16813.8,0.227,0.15816,0.78192,0.99754,1,0.995,0.96868,0.20266,0.13649,0.84083,0.000159952,0.000159952,0.000159952
42,17159,0.22074,0.15213,0.78699,0.99826,1,0.995,0.96646,0.19296,0.12971,0.83897,0.000144726,0.000144726,0.000144726
43,17509.9,0.21008,0.14616,0.78345,0.99735,1,0.995,0.96843,0.18566,0.12938,0.8379,0.0001295,0.0001295,0.0001295
44,17861.8,0.20765,0.14608,0.78227,0.99787,1,0.995,0.96763,0.19716,0.12425,0.8381,0.000114273,0.000114273,0.000114273
45,18205,0.20123,0.14234,0.78106,0.99841,1,0.995,0.96789,0.18933,0.12375,0.8353,9.90472e-05,9.90472e-05,9.90472e-05
46,18551.2,0.19565,0.13753,0.78053,0.99811,1,0.995,0.96547,0.1768,0.12121,0.83644,8.3821e-05,8.3821e-05,8.3821e-05
47,18895.1,0.18988,0.13336,0.7764,0.99871,1,0.995,0.96978,0.17616,0.11004,0.836,6.85948e-05,6.85948e-05,6.85948e-05
48,19243,0.1869,0.13274,0.77444,0.99868,1,0.995,0.96811,0.174,0.10409,0.83594,5.33686e-05,5.33686e-05,5.33686e-05
49,19591.4,0.17602,0.12703,0.78029,0.99794,1,0.995,0.96795,0.16817,0.10464,0.83553,3.81424e-05,3.81424e-05,3.81424e-05
50,19943,0.17744,0.12695,0.77796,0.99826,1,0.995,0.96803,0.17229,0.10574,0.83574,2.29162e-05,2.29162e-05,2.29162e-05
